JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460142.395833333, A.D. 2023-Jul-16 21:30:00.0000, -9.713310896074015E+04,  3.888661661435582E+05,  3.367362833182933E+04, -9.575323777535774E-01, -2.147279064569288E-01,  2.543934908638096E-02,
2460142.416666667, A.D. 2023-Jul-16 22:00:00.0000, -9.885570924245504E+04,  3.884757941982559E+05,  3.371907871219650E+04, -9.564647833270656E-01, -2.190177114986288E-01,  2.506101011422281E-02,
2460142.437500000, A.D. 2023-Jul-16 22:30:00.0000, -1.005763708434509E+05,  3.880777059609920E+05,  3.376384774208089E+04, -9.553782934644521E-01, -2.233015518316430E-01,  2.468229420920961E-02,
2460142.458333333, A.D. 2023-Jul-16 23:00:00.0000, -1.022950597811701E+05,  3.876719122349321E+05,  3.380793474956203E+04, -9.542729406818008E-01, -2.275793533873060E-01,  2.430320865803770E-02,
2460142.479166667, A.D. 2023-Jul-16 23:30:00.0000, -1.040117421318069E+05,  3.872584239563966E+05,  3.385133907583222E+04, -9.531487577432126E-01, -2.318510422843981E-01,  2.392376074404354E-02,
2460142.500000000, A.D. 2023-Jul-17 00:00:00.0000, -1.057263840307538E+05,  3.868372521945231E+05,  3.389406007519088E+04, -9.520057776598063E-01, -2.361165448296716E-01,  2.354395774711360E-02,
2460142.520833333, A.D. 2023-Jul-17 00:30:00.0000, -1.074389516730447E+05,  3.864084081509275E+05,  3.393609711503790E+04, -9.508440336886994E-01, -2.403757875183707E-01,  2.316380694359470E-02,
2460142.541666667, A.D. 2023-Jul-17 01:00:00.0000, -1.091494113137969E+05,  3.859719031593642E+05,  3.397744957586753E+04, -9.496635593319877E-01, -2.446286970347479E-01,  2.278331560620483E-02,
2460142.562500000, A.D. 2023-Jul-17 01:30:00.0000, -1.108577292686513E+05,  3.855277486853854E+05,  3.401811685126141E+04, -9.484643883357216E-01, -2.488752002525740E-01,  2.240249100394419E-02,
2460142.583333333, A.D. 2023-Jul-17 02:00:00.0000, -1.125638719142103E+05,  3.850759563259995E+05,  3.405809834788204E+04, -9.472465546888842E-01, -2.531152242356433E-01,  2.202134040200643E-02,
2460142.604166667, A.D. 2023-Jul-17 02:30:00.0000, -1.142678056884746E+05,  3.846165378093292E+05,  3.409739348546570E+04, -9.460100926223671E-01, -2.573486962382736E-01,  2.163987106169073E-02,
2460142.625000000, A.D. 2023-Jul-17 03:00:00.0000, -1.159694970912773E+05,  3.841495049942667E+05,  3.413600169681557E+04, -9.447550366079444E-01, -2.615755437058009E-01,  2.125809024031365E-02,
